Modulo;Data;Funcao;Status;Descricao
VBA;18/12/2020 11:08:57;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMA합ES
VBA;18/12/2020 11:08:57;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;18/12/2020 11:08:57;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;18/12/2020 11:08:57;Move_Pendentes;Processando;Movendo Arquivo PASTA 2 - teste com 1 nota - ferro.xlsx
VBA;18/12/2020 11:09:07;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2020\Dezembro\Pasta02\Pendentes\PASTA 2 - teste com 1 nota - ferro.xlsx]
VBA;18/12/2020 11:09:19;IMPORTA_DADOS;Processando;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;18/12/2020 11:10:16;FILTRA_CNPJ;Processando;INICIANDO FILTRO DE INFORMA합ES
VBA;18/12/2020 11:10:18;FILTRA_CNPJ;Sucesso;FINALIZANDO FILTRO DE INFORMA합ES
VBA;18/12/2020 11:10:18;IMPORTA_DADOS;Sucesso;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;18/12/2020 11:10:18;Processa_ARquivos;Sucesso;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2020\Dezembro\Pasta02\Pendentes\PASTA 2 - teste com 1 nota - ferro.xlsx]
