Terminal;Contrato;Cliente;Destino;CNPJ Destino;Mercadoria_generica;Identificador;Serie;Data de carregamento;Faturado em;Peso_bruto;Tara;Peso_liquido;Fluxo;Data_descarga;Numero;Serie;Data_emissao;Chave;Peso_declarado;Peso_descarregado;Peso_utilizado;Cnpj_remetente;Remetente;Municipio_remetente;Cnpj_destinatario;Destinatario;Municipio_destinatario;Data_descarga
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;527424;HFT;23/11/2020 15:34;28/11/2020 15:53;106140;25419;80721;GN29722;22/11/2020 00:30;4632;1;18/11/2020 15:42;NFe51201106315338020659550010000046321797854590;46680;46680;46650;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;22/11/2020 00:30
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;527424;HFT;23/11/2020 15:34;28/11/2020 15:53;106140;25419;80721;GN29722;22/11/2020 00:20;4627;1;18/11/2020 14:35;NFe51201106315338020659550010000046271793415095;47560;47560;4469;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;22/11/2020 00:20
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;527424;HFT;23/11/2020 15:34;28/11/2020 15:53;106140;25419;80721;GN29722;22/11/2020 00:38;4685;1;20/11/2020 09:31;NFe51201106315338020659550010000046851871304199;36560;36560;29602;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;22/11/2020 00:38
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;326011;HPT;23/11/2020 15:32;28/11/2020 15:53;125140;28739;96401;GN29722;22/11/2020 00:20;4627;1;18/11/2020 14:35;NFe51201106315338020659550010000046271793415095;47560;47560;43091;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;22/11/2020 00:20
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;326011;HPT;23/11/2020 15:32;28/11/2020 15:53;125140;28739;96401;GN29722;21/11/2020 23:17;4644;1;18/11/2020 18:10;NFe51201106315338020659550010000046441079589667;47340;47340;47340;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;21/11/2020 23:17
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;326011;HPT;23/11/2020 15:32;28/11/2020 15:53;125140;28739;96401;GN29722;21/11/2020 23:00;4663;1;19/11/2020 12:10;NFe51201106315338020659550010000046631578690466;50520;50520;5970;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;21/11/2020 23:00
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;985902;HFT;23/11/2020 15:28;27/11/2020 16:55;125835;30405;95430;GN29722;21/11/2020 22:08;4623;1;18/11/2020 12:50;NFe51201106315338020659550010000046231679670813;50900;50900;50900;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;21/11/2020 22:08
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;985902;HFT;23/11/2020 15:28;27/11/2020 16:55;125835;30405;95430;GN29722;21/11/2020 23:00;4663;1;19/11/2020 12:10;NFe51201106315338020659550010000046631578690466;50520;50520;44530;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;21/11/2020 23:00
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;300004;HPT;22/11/2020 00:41;25/11/2020 10:31;125122;29650;95472;GN29722;24/11/2020 23:45;4816;1;23/11/2020 17:22;NFe51201106315338020659550010000048161031129921;50200;50200;732;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;24/11/2020 23:45
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;300004;HPT;22/11/2020 00:41;25/11/2020 10:31;125122;29650;95472;GN29722;24/11/2020 22:07;4799;1;23/11/2020 12:45;NFe51201106315338020659550010000047991412687161;47040;47040;47040;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;24/11/2020 22:07
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;300004;HPT;22/11/2020 00:41;25/11/2020 10:31;125122;29650;95472;GN29722;24/11/2020 22:20;4804;1;23/11/2020 15:21;NFe51201106315338020659550010000048041510600305;47740;47740;47700;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;24/11/2020 22:20
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;309001;HPT;22/11/2020 00:46;25/11/2020 10:31;125220;28200;97020;GN29722;25/11/2020 01:23;4813;1;23/11/2020 17:10;NFe51201106315338020659550010000048131393666169;48720;48720;2696;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 01:23
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;309001;HPT;22/11/2020 00:46;25/11/2020 10:31;125220;28200;97020;GN29722;25/11/2020 01:12;4789;1;23/11/2020 11:03;NFe51201106315338020659550010000047891583165864;48140;48140;48140;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 01:12
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;309001;HPT;22/11/2020 00:46;25/11/2020 10:31;125220;28200;97020;GN29722;25/11/2020 00:58;4785;1;23/11/2020 10:14;NFe51201106315338020659550010000047851844297166;46600;46600;46184;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 00:58
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;319937;HPT;22/11/2020 01:17;25/11/2020 10:31;125040;27948;97092;GN29403;09/11/2020 02:27;4308;1;07/11/2020 10:36;NFe51201106315338020659550010000043081365360681;49080;49080;423;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 02:27
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;319937;HPT;22/11/2020 01:17;25/11/2020 10:31;125040;27948;97092;GN29403;09/11/2020 09:41;4276;1;05/11/2020 20:22;NFe51201106315338020659550010000042761673996212;49160;49160;47449;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 09:41
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;319937;HPT;22/11/2020 01:17;25/11/2020 10:31;125040;27948;97092;GN29403;09/11/2020 05:13;4278;1;05/11/2020 21:00;NFe51201106315338020659550010000042781786144674;49220;49220;49220;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 05:13
