Modulo;Data;Funcao;Status;Descricao
VBA;11/05/2021 15:06:09;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;11/05/2021 15:06:09;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/05/2021 15:06:09;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/05/2021 15:06:09;Move_Pendentes;Processando;Movendo Arquivo CATTALINI (1).xlsx
VBA;11/05/2021 15:06:10;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;11/05/2021 15:06:11;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;11/05/2021 15:06:11;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O GRAVAR
VBA;11/05/2021 15:06:12;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O GRAVAR
VBA;11/05/2021 15:06:12;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;11/05/2021 15:35:16;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;11/05/2021 15:35:16;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/05/2021 15:35:16;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/05/2021 15:35:16;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;11/05/2021 15:35:51;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;11/05/2021 15:35:51;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/05/2021 15:35:51;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/05/2021 15:35:51;Move_Pendentes;Processando;Movendo Arquivo CATTALINI (1) (1).xlsx
VBA;11/05/2021 15:35:53;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;11/05/2021 15:36:28;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;11/05/2021 15:36:28;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O GRAVAR
VBA;11/05/2021 15:36:29;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O GRAVAR
VBA;11/05/2021 15:36:29;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
