Modulo;Data;Funcao;Status;Descricao
VBA;02/02/2021 08:50:13;AUTOMAÇÃO HIDROVIAS - HIDRO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;02/02/2021 08:50:14;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;02/02/2021 08:50:14;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;02/02/2021 08:50:14;Move_Pendentes;Processando;Movendo Arquivo PASTA 13-hidro - 01-02.xlsx
VBA;02/02/2021 08:50:14;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;02/02/2021 08:50:14;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;02/02/2021 08:50:14;Move_Pendentes;Falha;52 - Nome ou número de arquivo incorreto
VBA;02/02/2021 08:50:14;ABRE_ARQUIVOS;Processando;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;02/02/2021 08:50:14;IMPORTA_DADOS;Processando;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO\PENDENTES\PASTA 13-hidro - 01-02.xlsx]
VBA;02/02/2021 08:50:15;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;02/02/2021 08:50:16;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;02/02/2021 08:50:16;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;02/02/2021 08:50:18;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;02/02/2021 08:50:18;IMPORTA_DADOS;Processando;EFETUANDO AJUSTES NA PLANILHA
VBA;02/02/2021 08:50:18;IMPORTA_DADOS;Processando;ATUALIZANDO PIVOT TABLES
VBA;02/02/2021 08:50:18;IMPORTA_DADOS;Sucesso;ATUALIZANDO PIVOT TABLES
VBA;02/02/2021 08:50:18;IMPORTA_DADOS;Sucesso;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO\PENDENTES\PASTA 13-hidro - 01-02.xlsx]
VBA;02/02/2021 08:50:18;GERA_FILEUP;Processando;Gerando PLANILHA PARA O CNPJ []
VBA;02/02/2021 08:50:18;IMPORTA_DADOS;Sucesso;Não Existem dados para Expedição
VBA;02/02/2021 08:50:20;ABRE_ARQUIVOS;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;02/02/2021 08:50:20;AUTOMAÇÃO HIDROVIAS - HIDRO;Sucesso;FINALIZANDO PROCESSAMENTO GERAL
VBA;02/02/2021 08:54:05;AUTOMAÇÃO HIDROVIAS - HIDRO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;02/02/2021 08:54:05;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;02/02/2021 08:54:05;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;02/02/2021 08:54:05;Move_Pendentes;Processando;Movendo Arquivo PASTA 13-hidro - 01-02.xlsx
VBA;02/02/2021 08:54:05;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;02/02/2021 08:54:05;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;02/02/2021 08:54:05;Move_Pendentes;Falha;52 - Nome ou número de arquivo incorreto
VBA;02/02/2021 08:54:05;ABRE_ARQUIVOS;Processando;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;02/02/2021 08:54:05;IMPORTA_DADOS;Processando;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO\PENDENTES\PASTA 13-hidro - 01-02.xlsx]
VBA;02/02/2021 08:54:07;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;02/02/2021 08:54:08;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;02/02/2021 08:54:08;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
