Modulo;Data;Funcao;Status;Descricao
VBA;02/02/2021 18:07:07;AUTOMAÇÃO HIDROVIAS - HIDRO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;02/02/2021 18:07:07;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;02/02/2021 18:07:07;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;02/02/2021 18:07:07;Move_Pendentes;Processando;Movendo Arquivo PASTA 13-hidro - 01-02 (1).xlsx
VBA;02/02/2021 18:07:07;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;02/02/2021 18:07:07;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;02/02/2021 18:07:07;Move_Pendentes;Falha;52 - Nome ou número de arquivo incorreto
VBA;02/02/2021 18:07:07;ABRE_ARQUIVOS;Processando;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;02/02/2021 18:07:07;IMPORTA_DADOS;Processando;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO2\PENDENTES\PASTA 13-hidro - 01-02 (1).xlsx]
VBA;02/02/2021 18:07:09;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;02/02/2021 18:07:11;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;02/02/2021 18:07:11;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;02/02/2021 18:07:12;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;02/02/2021 18:07:12;IMPORTA_DADOS;Processando;EFETUANDO AJUSTES NA PLANILHA
VBA;02/02/2021 18:07:13;IMPORTA_DADOS;Processando;ATUALIZANDO PIVOT TABLES
VBA;02/02/2021 18:07:13;IMPORTA_DADOS;Sucesso;ATUALIZANDO PIVOT TABLES
VBA;02/02/2021 18:07:13;IMPORTA_DADOS;Sucesso;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO2\PENDENTES\PASTA 13-hidro - 01-02 (1).xlsx]
VBA;02/02/2021 18:12:57;GERA_FILEUP;Processando;Gerando PLANILHA PARA O CNPJ [63153380211116]
VBA;02/02/2021 18:13:03;MONTA_LAYOUT_FILEUP;Processando;Gerando modelo de layout FILEUP
VBA;02/02/2021 18:13:06;MONTA_LAYOUT_FILEUP;Sucesso;Gerando modelo de layout FILEUP
VBA;02/02/2021 18:13:20;GERA_FILEUP;Processando;Gerando PLANILHA PARA O CNPJ [63153380211116]
VBA;02/02/2021 18:13:26;IMPORTA_DADOS;Sucesso;Não Existem dados para Expedição
VBA;02/02/2021 18:13:28;ABRE_ARQUIVOS;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;02/02/2021 18:13:28;AUTOMAÇÃO HIDROVIAS - HIDRO;Sucesso;FINALIZANDO PROCESSAMENTO GERAL
