Modulo;Data;Funcao;Status;Descricao
VBA;12/05/2021 09:14:43;15-VLIEMB.Transbordo;Processando;Inicia 15-VLIEMB.Transbordo
VBA;12/05/2021 09:14:43;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;12/05/2021 09:14:43;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;12/05/2021 09:14:43;Move_Pendentes;Processando;Movendo Arquivo TESTE.xlsx
VBA;12/05/2021 09:14:43;15-VLIEMB.Transbordo;Processando;Inicia Tratativa de Arquivo
VBA;12/05/2021 09:14:44;15-VLIEMB.Transbordo;Processando;Inicia Copiar
VBA;12/05/2021 09:14:44;15-VLIEMB.Transbordo;Sucesso;Terminou Copiar
VBA;12/05/2021 09:14:44;15-VLIEMB.Transbordo;Processando;Gravar Arquivos
VBA;12/05/2021 09:14:46;15-VLIEMB.Transbordo;Sucesso;Terminou de Gravar Arquivos
VBA;12/05/2021 09:14:46;15-VLIEMB.Transbordo;Processando;Movendo de Pendentes para Processados
VBA;12/05/2021 09:14:46;15-VLIEMB.Transbordo;Sucesso;Movido de Pendentes para Processados
VBA;12/05/2021 09:14:46;15-VLIEMB.Transbordo;Sucesso;Termina Tratativas do arquivo
VBA;12/05/2021 09:14:46;15-VLIEMB.Transbordo;Sucesso;Termina 15-VLIEMB.Transbordo
