Modulo;Data;Funcao;Status;Descricao
VBA;10/05/2021 10:51:58;AUTOMA플O RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;10/05/2021 10:51:58;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMA합ES
VBA;10/05/2021 10:51:58;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;10/05/2021 10:51:58;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;10/05/2021 10:51:58;Move_Pendentes;Processando;Movendo Arquivo PASTA 50 - 09-04.xlsx
VBA;10/05/2021 10:51:58;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\PASTA50_1005\Pendentes\PASTA 50 - 09-04.xlsx]
VBA;10/05/2021 10:51:58;IMPORTA_DADOS;Processando;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;10/05/2021 11:42:46;AUTOMA플O RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;10/05/2021 11:42:46;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMA합ES
VBA;10/05/2021 11:42:46;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;10/05/2021 11:42:46;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;10/05/2021 11:42:46;Move_Pendentes;Processando;Movendo Arquivo PASTA 50 - 09-04.xlsx
VBA;10/05/2021 11:42:46;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\PASTA50_1005\Pendentes\PASTA 50 - 09-04.xlsx]
VBA;10/05/2021 11:42:46;IMPORTA_DADOS;Processando;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;10/05/2021 11:44:42;FILTRA_CNPJ;Processando;INICIANDO FILTRO DE INFORMA합ES
VBA;10/05/2021 11:47:43;FILTRA_CNPJ;Processando;INICIANDO FILTRO DE INFORMA합ES
VBA;10/05/2021 11:49:28;AUTOMA플O RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;10/05/2021 11:49:28;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMA합ES
VBA;10/05/2021 11:49:28;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;10/05/2021 11:49:28;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;10/05/2021 11:49:28;Move_Pendentes;Processando;Movendo Arquivo PASTA 50 - 09-04.xlsx
VBA;10/05/2021 11:49:28;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\PASTA50_1005\Pendentes\PASTA 50 - 09-04.xlsx]
VBA;10/05/2021 11:49:28;IMPORTA_DADOS;Processando;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;10/05/2021 11:50:05;FILTRA_CNPJ;Processando;INICIANDO FILTRO DE INFORMA합ES
