Modulo;Data;Funcao;Status;Descricao
VBA;09/04/2021 15:48:23;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMA합ES
VBA;09/04/2021 15:48:23;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;09/04/2021 15:48:23;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;09/04/2021 15:48:23;Move_Pendentes;Processando;Movendo Arquivo MODELO.xlsx
VBA;09/04/2021 15:48:23;Move_Pendentes;Processando;Movendo Arquivo PASTA 50 - 09-04.xlsx
VBA;09/04/2021 15:52:10;AUTOMA플O RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;09/04/2021 15:52:11;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMA합ES
VBA;09/04/2021 15:52:11;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;09/04/2021 15:52:11;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;09/04/2021 15:52:11;Move_Pendentes;Processando;Movendo Arquivo PASTA 50 - 09-04.xlsx
VBA;09/04/2021 15:52:13;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\PAsta50\Pendentes\PASTA 50 - 09-04.xlsx]
VBA;09/04/2021 15:52:13;IMPORTA_DADOS;Processando;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;09/04/2021 15:53:02;FILTRA_CNPJ;Processando;INICIANDO FILTRO DE INFORMA합ES
VBA;09/04/2021 15:53:08;FILTRA_CNPJ;Sucesso;FINALIZANDO FILTRO DE INFORMA합ES
VBA;09/04/2021 15:53:08;IMPORTA_DADOS;Sucesso;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;09/04/2021 15:53:08;Processa_ARquivos;Sucesso;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\PAsta50\Pendentes\PASTA 50 - 09-04.xlsx]
VBA;09/04/2021 15:53:08;AUTOMA플O RUMO;Sucesso;FINALIZANDO PROCESSAMENTO GERAL
