Modulo;Data;Funcao;Status;Descricao
VBA;27/05/2021 11:15:14;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;27/05/2021 11:15:14;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;27/05/2021 11:15:14;Move_Pendentes;Processando;Movendo Arquivo AJUSTAR RPA NOVA AGRI (2).xls
VBA;27/05/2021 16:35:53;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;27/05/2021 16:35:53;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;27/05/2021 16:35:53;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;27/05/2021 16:35:53;Move_Pendentes;Processando;Movendo Arquivo AJUSTAR RPA NOVA AGRI (2).xls
VBA;27/05/2021 16:40:58;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;27/05/2021 16:40:58;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;27/05/2021 16:40:58;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;27/05/2021 16:40:58;Move_Pendentes;Processando;Movendo Arquivo AJUSTAR RPA NOVA AGRI (2).xls
VBA;27/05/2021 16:47:49;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;27/05/2021 16:50:10;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;27/05/2021 16:51:08;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;27/05/2021 16:51:08;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;27/05/2021 16:51:08;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;27/05/2021 16:51:08;Move_Pendentes;Processando;Movendo Arquivo AJUSTAR RPA NOVA AGRI (2).xls
VBA;27/05/2021 16:51:18;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;27/05/2021 16:51:18;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;27/05/2021 16:53:18;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;27/05/2021 16:53:18;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;27/05/2021 16:53:18;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;27/05/2021 16:53:18;Move_Pendentes;Processando;Movendo Arquivo AJUSTAR RPA NOVA AGRI (2).xls
VBA;27/05/2021 16:55:12;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;27/05/2021 16:55:47;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;27/05/2021 16:55:54;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O GRAVAR
VBA;27/05/2021 16:55:57;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O GRAVAR
VBA;27/05/2021 16:55:57;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
