Modulo;Data;Funcao;Status;Descricao
VBA;11/03/2021 09:05:19;AUTOMA플O RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;11/03/2021 09:05:19;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMA합ES
VBA;11/03/2021 09:05:19;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/03/2021 09:05:19;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/03/2021 09:05:19;Move_Pendentes;Processando;Movendo Arquivo PASTA 2.xlsx
VBA;11/03/2021 09:05:19;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Pasta2_11_03\Pendentes\PASTA 2.xlsx]
VBA;11/03/2021 09:05:19;IMPORTA_DADOS;Processando;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;11/03/2021 09:07:58;AUTOMA플O RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;11/03/2021 09:07:58;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMA합ES
VBA;11/03/2021 09:07:58;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/03/2021 09:07:58;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/03/2021 09:07:58;Move_Pendentes;Processando;Movendo Arquivo PASTA 2.xlsx
VBA;11/03/2021 09:07:58;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Pasta2_11_03\Pendentes\PASTA 2.xlsx]
VBA;11/03/2021 09:07:58;IMPORTA_DADOS;Processando;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;11/03/2021 09:07:59;FILTRA_CNPJ;Processando;INICIANDO FILTRO DE INFORMA합ES
VBA;11/03/2021 09:11:19;FILTRA_CNPJ;Sucesso;FINALIZANDO FILTRO DE INFORMA합ES
VBA;11/03/2021 09:11:20;IMPORTA_DADOS;Sucesso;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;11/03/2021 09:11:20;Processa_ARquivos;Sucesso;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Pasta2_11_03\Pendentes\PASTA 2.xlsx]
VBA;11/03/2021 09:11:20;AUTOMA플O RUMO;Sucesso;FINALIZANDO PROCESSAMENTO GERAL
