Modulo;Data;Funcao;Status;Descricao
VBA;14/05/2021 11:11:41;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;14/05/2021 11:11:41;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;14/05/2021 11:11:41;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;14/05/2021 11:11:41;Move_Pendentes;Processando;Movendo Arquivo PASTA 48-13-05.xlsx
VBA;14/05/2021 11:31:03;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;14/05/2021 11:34:14;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;14/05/2021 11:39:50;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;14/05/2021 11:39:50;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;14/05/2021 11:39:50;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;14/05/2021 11:39:51;Move_Pendentes;Processando;Movendo Arquivo PASTA 48-13-05.xlsx
VBA;14/05/2021 11:39:59;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;14/05/2021 11:40:00;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;14/05/2021 11:40:03;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O GRAVAR
VBA;14/05/2021 11:40:04;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O GRAVAR
VBA;14/05/2021 11:40:04;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;14/05/2021 11:40:05;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;14/05/2021 11:40:05;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O GRAVAR
VBA;14/05/2021 11:40:06;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O GRAVAR
VBA;14/05/2021 11:40:06;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
