Modulo;Data;Funcao;Status;Descricao
VBA;31/05/2021 11:33:28;AUTOMAÇÃO RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;31/05/2021 11:33:28;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMAÇÕES
VBA;31/05/2021 11:33:28;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;31/05/2021 11:33:28;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;31/05/2021 11:33:28;Move_Pendentes;Processando;Movendo Arquivo AJUSTAR RPA NOVA AGRI.xls
VBA;31/05/2021 11:33:28;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:33:28;IMPORTA_DADOS;Processando;INICIANDO IMPORTAÇÃO DE INFORMAÇÕES
VBA;31/05/2021 11:40:30;AUTOMAÇÃO RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;31/05/2021 11:40:30;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMAÇÕES
VBA;31/05/2021 11:40:30;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;31/05/2021 11:40:30;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;31/05/2021 11:40:30;Move_Pendentes;Processando;Movendo Arquivo AJUSTAR RPA NOVA AGRI.xls
VBA;31/05/2021 11:40:30;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:40:30;IMPORTA_DADOS;Processando;INICIANDO IMPORTAÇÃO DE INFORMAÇÕES
VBA;31/05/2021 11:41:33;AUTOMAÇÃO RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;31/05/2021 11:41:33;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMAÇÕES
VBA;31/05/2021 11:41:33;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;31/05/2021 11:41:33;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;31/05/2021 11:41:33;Move_Pendentes;Processando;Movendo Arquivo AJUSTAR RPA NOVA AGRI.xls
VBA;31/05/2021 11:41:33;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:41:33;IMPORTA_DADOS;Processando;INICIANDO IMPORTAÇÃO DE INFORMAÇÕES
VBA;31/05/2021 11:50:52;AUTOMAÇÃO RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;31/05/2021 11:50:52;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMAÇÕES
VBA;31/05/2021 11:50:52;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;31/05/2021 11:50:52;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;31/05/2021 11:50:52;Move_Pendentes;Processando;Movendo Arquivo AJUSTAR RPA NOVA AGRI.xls
VBA;31/05/2021 11:50:52;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:50:52;IMPORTA_DADOS;Processando;INICIANDO IMPORTAÇÃO DE INFORMAÇÕES
VBA;31/05/2021 11:51:03;IMPORTA_DADOS;Falha;1004 - O método PasteSpecial da classe Range falhou
VBA;31/05/2021 11:51:03;Processa_ARquivos;Sucesso;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:51:03;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:51:03;IMPORTA_DADOS;Processando;INICIANDO IMPORTAÇÃO DE INFORMAÇÕES
VBA;31/05/2021 11:51:03;IMPORTA_DADOS;Falha;1004 - O método Delete da classe Range falhou
VBA;31/05/2021 11:51:03;Processa_ARquivos;Sucesso;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:51:03;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:51:03;IMPORTA_DADOS;Processando;INICIANDO IMPORTAÇÃO DE INFORMAÇÕES
VBA;31/05/2021 11:51:03;IMPORTA_DADOS;Falha;1004 - O método Delete da classe Range falhou
VBA;31/05/2021 11:51:03;Processa_ARquivos;Sucesso;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:51:03;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
VBA;31/05/2021 11:51:04;IMPORTA_DADOS;Processando;INICIANDO IMPORTAÇÃO DE INFORMAÇÕES
VBA;31/05/2021 11:51:04;IMPORTA_DADOS;Falha;1004 - O método Delete da classe Range falhou
VBA;31/05/2021 11:51:04;Processa_ARquivos;Sucesso;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\Placas\7\Pendentes\AJUSTAR RPA NOVA AGRI.xls]
