Modulo;Data;Funcao;Status;Descricao
VBA;29/01/2021 15:42:01;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;29/01/2021 15:42:01;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;29/01/2021 15:42:01;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;29/01/2021 15:42:01;Move_Pendentes;Processando;Movendo Arquivo Descarga_Rodoviaria 20210125173014.xlsx
VBA;29/01/2021 15:42:01;Move_Pendentes;Processando;Movendo Arquivo INFORMAÇÕES VLI TIUB.docx
VBA;29/01/2021 15:42:01;Move_Pendentes;Falha;424 - O objeto é obrigatório
VBA;29/01/2021 15:42:03;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUNÇÃO COPIAR
VBA;29/01/2021 15:45:07;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUNÇÃO COPIAR
VBA;29/01/2021 15:45:07;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUNÇÃO GRAVAR
VBA;29/01/2021 15:45:09;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUNÇÃO GRAVAR
VBA;29/01/2021 15:45:09;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
