Modulo;Data;Funcao;Status;Descricao
VBA;29/01/2021 14:21:07;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;29/01/2021 14:21:07;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;29/01/2021 14:21:07;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;29/01/2021 14:21:07;Move_Pendentes;Processando;Movendo Arquivo Embarque_Expedicao_Ferroviaria 20210125173018 (1).xlsx
VBA;29/01/2021 14:21:07;Move_Pendentes;Processando;Movendo Arquivo INFORMAÇÕES VLI TIUB - FERROVIARIO (1).docx
VBA;29/01/2021 14:21:07;Move_Pendentes;Falha;424 - O objeto é obrigatório
VBA;29/01/2021 14:21:08;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUNÇÃO COPIAR
VBA;29/01/2021 14:21:09;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUNÇÃO COPIAR
VBA;29/01/2021 14:21:09;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUNÇÃO GRAVAR
VBA;29/01/2021 14:21:11;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUNÇÃO GRAVAR
VBA;29/01/2021 14:21:11;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;29/01/2021 15:46:46;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;29/01/2021 15:46:46;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;29/01/2021 15:46:46;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;29/01/2021 15:46:46;Move_Pendentes;Processando;Movendo Arquivo Embarque_Expedicao_Ferroviaria 20210125173018 (1).xlsx
VBA;29/01/2021 15:46:46;Move_Pendentes;Processando;Movendo Arquivo INFORMAÇÕES VLI TIUB - FERROVIARIO (1).docx
VBA;29/01/2021 15:46:46;Move_Pendentes;Falha;424 - O objeto é obrigatório
VBA;29/01/2021 15:46:48;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUNÇÃO COPIAR
VBA;29/01/2021 15:47:31;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUNÇÃO COPIAR
VBA;29/01/2021 15:47:31;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUNÇÃO GRAVAR
VBA;29/01/2021 15:47:32;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUNÇÃO GRAVAR
VBA;29/01/2021 15:47:32;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;29/01/2021 15:47:53;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;29/01/2021 15:47:53;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;29/01/2021 15:47:53;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;29/01/2021 15:47:53;Move_Pendentes;Processando;Movendo Arquivo Embarque_Expedicao_Ferroviaria 20210125173018 (1).xlsx
VBA;29/01/2021 15:47:55;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUNÇÃO COPIAR
VBA;29/01/2021 15:48:18;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUNÇÃO COPIAR
VBA;29/01/2021 15:48:18;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUNÇÃO GRAVAR
VBA;29/01/2021 15:48:20;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUNÇÃO GRAVAR
VBA;29/01/2021 15:48:20;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
