Modulo;Data;Funcao;Status;Descricao
VBA;29/03/2021 10:10:44;AUTOMA플O RUMO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;29/03/2021 10:10:44;PROCESSA_ARQUIVOS;Processando;INICIANDO PROCESSAMENTO DE INFORMA합ES
VBA;29/03/2021 10:10:44;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;29/03/2021 10:10:44;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;29/03/2021 10:10:44;Move_Pendentes;Processando;Movendo Arquivo SEARA FERRO.xlsx
VBA;29/03/2021 10:10:44;Processa_ARquivos;Processando;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\SEARA\Pendentes\SEARA FERRO.xlsx]
VBA;29/03/2021 10:10:44;IMPORTA_DADOS;Processando;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;29/03/2021 10:10:47;FILTRA_CNPJ;Processando;INICIANDO FILTRO DE INFORMA합ES
VBA;29/03/2021 10:10:50;FILTRA_CNPJ;Sucesso;FINALIZANDO FILTRO DE INFORMA합ES
VBA;29/03/2021 10:10:50;IMPORTA_DADOS;Sucesso;INICIANDO IMPORTA플O DE INFORMA합ES
VBA;29/03/2021 10:10:50;Processa_ARquivos;Sucesso;Processando arquivo [C:\PROJETOS\GOBI\COFCO\2021\SEARA\Pendentes\SEARA FERRO.xlsx]
VBA;29/03/2021 10:10:50;AUTOMA플O RUMO;Sucesso;FINALIZANDO PROCESSAMENTO GERAL
