SCB Entity;Trade ID;Linked ID;DID;RegulatoryUSI;Product Typology;Trade Date;Effective Date;Maturity Date;PutCall;StrikePrice;BuySellLeg1;Leg1 CCY;Notional1;BuySellLeg2;Leg2 CCY;Notional2;MTM CCY;MTM Amount;Agr CCY;MTM in Agr CCY;Our IA;Counterparty IA;Counterparty Name
STANDARD CHARTERED BANK;66512063;0;2001783700;;ForeignExchange:NDF:;08/05/2020;08/05/2020;01/07/2020;;0.17;S;BRL;4827900.00;B;USD;840000.00;USD;-41647.09;USD;-41647.09;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66549100;0;2001783700;;ForeignExchange:NDF:;12/05/2020;12/05/2020;01/07/2020;;0.17;S;BRL;38786300.00;B;USD;6700000.00;USD;-382961.16;USD;-382961.16;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66673358;0;2001783700;;ForeignExchange:NDF:;19/05/2020;19/05/2020;03/11/2020;;0.17;S;BRL;55922775.00;B;USD;9775000.00;USD;-378660.26;USD;-378660.26;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66673359;0;2001783700;;ForeignExchange:NDF:;19/05/2020;19/05/2020;01/09/2020;;0.18;S;BRL;17999100.00;B;USD;3150000.00;USD;-125085.67;USD;-125085.67;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66693819;0;2001783700;;ForeignExchange:NDF:;20/05/2020;20/05/2020;01/07/2020;;0.17;S;BRL;8629500.00;B;USD;1500000.00;USD;-75876.38;USD;-75876.38;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66698473;0;2001783700;;ForeignExchange:NDF:;20/05/2020;20/05/2020;01/07/2020;;0.18;S;BRL;8527500.00;B;USD;1500000.00;USD;-57249.69;USD;-57249.69;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66723976;0;2001783700;;ForeignExchange:NDF:;21/05/2020;21/05/2020;01/07/2020;;0.18;S;BRL;5608000.00;B;USD;1000000.00;USD;-24105.13;USD;-24105.13;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66741323;0;2001783700;;ForeignExchange:NDF:;22/05/2020;22/05/2020;01/07/2020;;0.18;S;BRL;8424750.00;B;USD;1500000.00;USD;-38486.03;USD;-38486.03;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66741387;0;2001783700;;ForeignExchange:NDF:;22/05/2020;22/05/2020;01/07/2020;;0.18;S;BRL;11242000.00;B;USD;2000000.00;USD;-52958.24;USD;-52958.24;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66746890;0;2001783700;;ForeignExchange:NDF:;22/05/2020;22/05/2020;01/07/2020;;0.18;S;BRL;5580000.00;B;USD;1000000.00;USD;-18991.92;USD;-18991.92;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66746891;0;2001783700;;ForeignExchange:NDF:;22/05/2020;22/05/2020;01/07/2020;;0.18;S;BRL;16755000.00;B;USD;3000000.00;USD;-59714.99;USD;-59714.99;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66770518;0;2001783700;;ForeignExchange:NDF:;26/05/2020;26/05/2020;01/07/2020;;0.19;S;BRL;10774000.00;B;USD;2000000.00;USD;32505.41;USD;32505.41;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66776344;0;2001783700;;ForeignExchange:NDF:;26/05/2020;26/05/2020;01/07/2020;;0.19;S;BRL;5373500.00;B;USD;1000000.00;USD;18718.00;USD;18718.00;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66776789;0;2001783700;;ForeignExchange:NDF:;26/05/2020;26/05/2020;01/07/2020;;0.19;S;BRL;5383500.00;B;USD;1000000.00;USD;16891.85;USD;16891.85;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66818625;0;2001783700;;ForeignExchange:NDF:;28/05/2020;28/05/2020;01/07/2020;;0.19;S;BRL;7970250.00;B;USD;1500000.00;USD;44512.32;USD;44512.32;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66823249;0;2001783700;;ForeignExchange:NDF:;26/05/2020;26/05/2020;01/07/2020;;0.19;S;BRL;80730000.00;B;USD;15000000.00;USD;257486.64;USD;257486.64;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66823267;0;2001783700;;ForeignExchange:NDF:;26/05/2020;26/05/2020;01/07/2020;;0.19;S;BRL;107640000.00;B;USD;20000000.00;USD;343315.52;USD;343315.52;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66823268;0;2001783700;;ForeignExchange:NDF:;26/05/2020;26/05/2020;01/07/2020;;0.19;S;BRL;107640000.00;B;USD;20000000.00;USD;343315.52;USD;343315.52;0.00;0.00;Copersucar Europe SL
STANDARD CHARTERED BANK;66825371;0;2001783700;;ForeignExchange:NDF:;28/05/2020;28/05/2020;01/07/2020;;0.19;S;BRL;5348500.00;B;USD;1000000.00;USD;23283.37;USD;23283.37;0.00;0.00;Copersucar Europe SL
